组织机构代码,单位名称,行政区划,行业代码,管理机构,营业额本月止累计,营业额上年同期累计
50650271,佛山市泰爱里餐饮有限公司,440604012034（兰桂社区居委会）,6210,4.40604E+11,1,2
50703724,佛山市味稻粥城饮食有限公司,440604012034（兰桂社区居委会）,6210,4.40604E+11,2,3
50740111,佛山市生之源餐饮管理服务有限公司,440604011206（古灶村民委员会）,6242,4.40604E+11,3,4
05243701X,佛山市喜成饮食服务有限公司,440604012202（朝安东社区居委会）,6210,4.40604E+11,4,5
52441721,佛山市厚善坊贸易有限公司,440604010024（文华社区居委会）,6210,4.40604E+11,5,6
53717179,佛山市桃园一品饮食有限公司,440604100202（紫南村民委员会）,6210,4.40604E+11,6,7
53794158,佛山市誉宴餐饮有限公司,440604012051（朝安东社区居委会）,6210,4.40604E+11,7,8
55321282,佛山市园生态餐饮有限公司,440604100002（吉利村民委员会）,6210,4.40604E+11,8,9
55366405,佛山市禅城区羊之道美食坊,440604011002（江湾社区居委会）,6210,4.40604E+11,9,10
56776641,佛山市湘德餐饮配送有限公司,440604011206（古灶村民委员会）,6241,4.40604E+11,10,11
58536844,佛山市吴系餐饮有限公司,440604012034（兰桂社区居委会）,6210,4.40604E+11,11,12
59919070,佛山市星汇四季酒店有限公司,440604012064（新城社区居委会）,6110,4.40604E+11,12,13
05999525X,佛山市富国天伦酒店管理有限公司,440604012052（桂园社区居委会）,6110,4.40604E+11,13,14
61515956,佛山市壅味源饮食服务有限公司,440604011207（大江村民委员会）,6210,4.40604E+11,14,15
65166220,佛山市山水茶艺饮食有限公司,440604010009（季华社区居委会）,6210,4.40604E+11,15,16
70286809,广东东方誉采酒店有限公司,440604100201（南庄村民委员会）,6129,4.40604E+11,16,17
75061043,佛山市味道制造餐饮有限公司,440604012011（庆宁社区居委会）,6210,4.40604E+11,17,18
75135655,佛山和汇公寓管理有限公司,440604012025（永安社区居委会）,6130,4.40604E+11,18,19
76682343,佛山市上北大酒店有限公司,440604010200（河宕村民委员会）,6129,4.40604E+11,19,20
77920171,佛山市红树林饮食有限公司,440604100210（吉利村民委员会）,6210,4.40604E+11,20,21
77948510,佛山颐德酒店有限公司,440604011207（大江村民委员会）,6129,4.40604E+11,21,22
79568087,佛山市维多利亚锦宏酒店有限公司,440604011004（弼唐村民委员会）,6129,4.40604E+11,22,23
81225710,佛山市逸荟餐饮有限公司,440604012035（建设社区居委会）,6210,4.40604E+11,23,24
08260021X,佛山市揽景楼餐饮有限公司,440604010027（奇槎社区居委会）,6210,4.40604E+11,24,25
84511667,佛山金港银城酒店有限公司,440604010204（里水村民委员会）,6129,4.40604E+11,25,26
86757505,佛山市一味乐信息科技有限公司,440604011206（古灶村民委员会）,6210,4.40604E+11,26,27
86761045,佛山市夏天房子餐饮有限公司,440604012034（兰桂社区居委会）,6210,4.40604E+11,27,28
91766051,广东湘满楼饮食管理有限公司,440604100210（吉利社区居委会）,6210,4.40604E+11,28,29
92355780,佛山市后街唐厨餐饮有限公司,440604012034（兰桂社区居委会）,6210,4.40604E+11,29,30
95154159,佛山市东江海鲜餐饮有限公司,440604010025（东平社区居委会）,6210,4.40604E+11,30,31
09720843X,佛山陶花园艺宿馆酒店管理有限公司,440604010018（红卫社区居委会）,6129,4.40604E+11,31,32
193523069,佛山市机关招待所（佛山迎宾馆）,440604012056（旭日社区居委会）,6110,4.40604E+11,32,33
193540619,佳宁娜(佛山)企业有限公司,440604012040（东园社区居委会）,6110,4.40604E+11,33,34
193543430,佛山市鸿运酒店有限公司,440604012008（高基社区居委会）,6110,4.40604E+11,34,35
193555431,佛山市珠江餐饮食品有限公司,440604012013（培德社区居委会）,6210,4.40604E+11,35,36
193620192,佛山市粤鸿餐饮食品有限公司,440604012036（沙塘社区居委会）,6210,4.40604E+11,36,37
303973491,佛山市小山日式料理有限公司,440604012034（白燕社区居委会）,6210,4.40604E+11,37,38
